"","wage","education","experience","age","raceColor","dad_education","mom_education","rural","city","z1","z2","IQscore","logWage"
"1125",520,16,8,30,0,11,12,0,0,1,1,118,6.25382881157547
"2512",601,14,5,25,1,NA,NA,1,1,0,1,100,6.39859493453521
"1938",944,8,19,33,0,NA,NA,1,0,0,1,NA,6.8501261661455
"441",745,12,7,25,0,8,12,0,1,1,1,106,6.61338421837956
"1793",753,12,10,28,1,NA,6,0,1,0,1,NA,6.62406522779989
"2517",542,9,9,24,1,NA,11,1,1,0,1,NA,6.29526600143965
"1022",624,14,7,27,0,12,14,0,0,0,0,103,6.43615036836943
"1717",1374,16,9,31,0,12,12,1,1,1,1,126,7.22548147278229
"2350",577,15,6,27,0,12,12,0,0,0,1,93,6.3578422665081
"1669",400,12,6,24,0,NA,9,1,0,0,1,NA,5.99146454710798
"178",625,11,10,27,0,11,9,0,1,1,1,84,6.4377516497364
"786",643,16,7,29,0,12,12,0,1,0,1,115,6.46614472423762
"1079",486,12,9,27,0,8,8,0,0,0,1,96,6.18620862390049
"1789",528,8,15,29,0,1,6,1,0,0,1,NA,6.26909628370626
"496",625,12,11,29,0,8,NA,0,1,0,1,NA,6.4377516497364
"1215",481,12,9,27,0,12,11,1,1,1,0,122,6.17586727010576
"2775",721,12,13,31,0,3,7,1,1,0,1,108,6.58063913728495
"1054",700,12,8,26,0,8,8,0,0,0,1,112,6.5510803350434
"1250",423,17,5,28,0,14,12,0,0,0,1,NA,6.04737217904628
"2074",275,7,17,30,0,5,8,1,0,0,0,NA,5.61677109766657
"2992",500,10,15,31,0,NA,12,1,0,0,0,NA,6.21460809842219
"2439",542,14,7,27,0,13,14,0,0,0,1,101,6.29526600143965
"67",570,13,12,31,0,8,12,0,1,1,1,93,6.3456363608286
"2448",400,13,5,24,0,12,12,0,0,0,1,115,5.99146454710798
"1438",550,11,12,29,0,5,12,1,1,0,1,NA,6.30991827822652
"744",1082,12,9,27,0,13,13,0,1,1,1,NA,6.98656645940643
"2698",260,8,10,24,1,NA,NA,1,0,1,0,NA,5.56068163101553
"152",577,16,8,30,0,8,10,0,1,0,1,115,6.3578422665081
"348",1192,17,4,27,0,8,6,0,1,1,1,122,7.0833878476253
"1600",438,13,11,30,1,NA,11,1,1,1,1,NA,6.08221891037645
"222",549,10,13,29,0,12,NA,0,1,1,1,80,6.30809844150953
"2875",230,6,17,29,1,1,5,1,0,1,0,NA,5.4380793089232
"2081",285,10,9,25,0,8,12,1,1,1,1,NA,5.65248918026865
"1806",300,6,19,31,1,NA,NA,1,0,0,1,NA,5.7037824746562
"1480",463,7,16,29,0,12,12,1,1,0,1,NA,6.13772705408623
"1503",357,14,9,29,1,NA,16,0,1,0,1,93,5.87773578177964
"1188",865,12,7,25,0,8,12,0,1,1,1,NA,6.76272950693188
"1124",706,12,13,31,0,5,8,0,1,1,1,115,6.55961523749324
"2744",513,10,10,26,1,NA,NA,1,0,0,1,NA,6.24027584517077
"1029",924,18,2,26,0,12,16,0,0,0,0,NA,6.82871207164168
"1900",351,12,10,28,1,6,7,1,0,1,0,88,5.86078622346587
"792",370,14,6,26,0,12,NA,0,1,0,1,NA,5.91350300563827
"2226",312,16,5,27,0,NA,NA,0,1,1,1,NA,5.74300318780948
"2435",294,14,6,26,0,10,12,0,1,0,0,109,5.68357976733868
"2985",300,12,8,26,1,0,7,0,1,0,0,NA,5.7037824746562
"295",500,14,13,33,0,12,12,0,1,1,1,79,6.21460809842219
"596",300,12,8,26,0,NA,12,0,0,0,0,96,5.7037824746562
"2665",275,11,8,25,1,11,10,0,1,0,0,76,5.61677109766657
"1762",505,17,1,24,0,12,16,1,0,0,0,95,6.22455842927536
"762",650,12,9,27,0,12,10,0,1,1,1,NA,6.47697236288968
"1432",538,11,10,27,0,16,12,1,1,0,1,NA,6.28785856016178
"502",625,12,8,26,0,10,10,0,1,0,0,101,6.4377516497364
"2973",900,13,9,28,0,9,16,1,0,0,0,NA,6.80239476332431
"816",561,12,9,27,1,NA,NA,0,1,0,1,68,6.3297209055227
"503",1010,16,9,31,0,9,12,0,1,0,0,105,6.9177056098353
"2668",625,12,10,28,1,NA,3,1,0,0,0,50,6.4377516497364
"2041",600,18,4,28,0,NA,4,1,0,0,1,101,6.39692965521615
"87",625,16,3,25,0,9,10,0,1,1,1,132,6.4377516497364
"1427",603,11,16,33,0,6,12,1,1,1,1,97,6.40191719672719
"795",311,18,3,27,0,9,12,0,1,0,1,82,5.73979291217923
"2507",460,10,10,26,1,12,2,1,1,0,1,NA,6.13122648948314
"2923",523,13,5,24,0,12,10,1,1,0,0,120,6.25958146406492
"130",615,16,7,29,0,13,12,0,0,0,1,106,6.42162226780652
"645",462,16,6,28,0,8,8,0,1,1,1,85,6.13556489108174
"349",625,14,6,26,0,7,6,0,1,1,1,98,6.4377516497364
"743",1026,17,4,27,0,18,18,0,1,1,1,124,6.93342302573071
"628",769,16,7,29,0,14,12,0,1,1,1,117,6.64509096950564
"1414",200,12,8,26,1,NA,7,1,1,1,1,NA,5.29831736654804
"110",625,12,15,33,0,NA,8,0,1,0,1,101,6.4377516497364
"1280",531,12,8,26,0,12,12,0,1,0,1,89,6.27476202124194
"181",613,12,8,26,1,12,9,0,1,1,1,85,6.41836493593621
"545",785,12,9,27,0,8,8,0,0,0,1,102,6.66568371778241
"2544",250,2,17,25,1,6,NA,1,0,1,0,NA,5.52146091786225
"1553",331,13,7,26,1,12,NA,1,1,1,1,86,5.80211837537706
"1167",520,16,2,24,0,12,12,0,1,1,1,137,6.25382881157547
"2730",333,11,13,30,1,9,7,1,0,0,1,NA,5.80814248998044
"271",577,16,5,27,0,12,12,1,1,0,1,112,6.3578422665081
"1635",378,12,8,26,0,7,10,1,1,1,1,80,5.93489419561959
"2211",538,12,11,29,0,7,12,0,1,0,1,102,6.28785856016178
"2639",433,12,7,25,0,7,8,1,1,0,0,106,6.07073772800249
"2815",331,12,9,27,0,5,7,1,0,0,0,83,5.80211837537706
"2811",250,11,9,26,1,6,11,1,0,0,0,NA,5.52146091786225
"2399",721,12,14,32,0,6,7,0,0,1,0,109,6.58063913728495
"916",460,12,7,25,0,NA,12,0,1,0,0,NA,6.13122648948314
"2020",619,12,11,29,0,9,12,1,1,1,1,NA,6.4281052726846
"1796",167,3,16,25,1,NA,5,1,0,0,1,NA,5.11799381241676
"1980",600,10,18,34,0,NA,10,1,1,1,1,NA,6.39692965521615
"2358",511,12,11,29,0,2,6,0,1,1,0,78,6.2363695902037
"1661",315,10,18,34,1,NA,NA,1,1,0,1,NA,5.75257263882563
"2410",693,14,8,28,0,12,10,0,0,0,0,97,6.5410299991899
"690",750,12,8,26,0,7,12,0,1,0,1,87,6.62007320653036
"1680",750,12,16,34,0,NA,NA,1,1,0,1,97,6.62007320653036
"1662",452,14,4,24,0,NA,NA,1,1,0,1,NA,6.11368217983223
"1462",245,12,13,31,1,NA,NA,1,1,1,1,NA,5.50125821054473
"842",800,11,14,31,0,NA,NA,0,1,0,1,97,6.68461172766793
"237",556,16,5,27,0,14,12,0,1,0,1,96,6.32076829425058
"1086",722,12,9,27,0,15,12,0,0,1,0,87,6.58202513889283
"2105",323,14,8,28,0,12,12,0,0,1,1,60,5.77765232322266
"2712",400,13,7,26,0,10,4,1,0,1,0,87,5.99146454710798
"2003",414,13,8,27,1,NA,4,0,1,0,1,73,6.02586597382531
"2454",450,16,8,30,0,12,9,1,1,0,1,112,6.10924758276437
"177",250,18,9,33,0,16,16,1,1,1,1,133,5.52146091786225
"1409",722,14,10,30,0,14,16,0,1,0,1,113,6.58202513889283
"2912",358,12,7,25,0,NA,12,1,1,0,0,NA,5.8805329864007
"1689",427,15,10,31,1,12,12,1,1,0,1,NA,6.05678401322862
"2919",409,12,7,25,0,7,9,1,0,0,0,114,6.0137151560428
"2696",732,16,3,25,1,13,NA,0,1,1,0,102,6.59578051396131
"1156",664,16,5,27,0,16,13,0,1,1,1,115,6.49828214947643
"2603",440,12,9,27,0,NA,8,1,0,0,0,73,6.08677472691231
"272",325,16,2,24,0,16,12,0,1,0,1,NA,5.78382518232974
"2498",425,12,7,25,1,10,8,1,1,0,1,NA,6.05208916892442
"754",467,12,6,24,1,16,12,0,1,1,1,108,6.1463292576689
"355",841,18,4,28,0,12,16,0,1,1,1,NA,6.73459165997295
"776",700,14,7,27,1,9,11,0,1,1,1,84,6.5510803350434
"433",555,17,4,27,0,14,12,0,1,1,1,122,6.31896811374643
"1335",620,12,9,27,0,11,12,0,0,0,0,97,6.42971947803914
"2756",438,9,12,27,0,2,2,1,1,1,0,NA,6.08221891037645
"278",543,9,19,34,1,12,NA,0,0,1,1,86,6.29710931993394
"2645",547,12,14,32,0,12,12,1,1,1,0,96,6.30444880242198
"2908",463,12,10,28,1,NA,NA,1,1,0,0,74,6.13772705408623
"1450",721,12,10,28,0,12,12,1,1,1,1,106,6.58063913728495
"981",645,12,6,24,0,NA,NA,0,1,0,1,NA,6.46925031679577
"1734",315,16,5,27,1,12,12,1,1,1,1,127,5.75257263882563
"2297",1029,14,14,34,0,15,10,0,1,1,1,NA,6.93634273583405
"1130",788,12,16,34,0,8,11,0,1,1,1,107,6.66949808985788
"2529",578,7,18,31,0,NA,NA,1,1,0,1,NA,6.35957386867238
"2489",526,16,3,25,0,14,12,1,1,1,0,NA,6.26530121273771
"420",437,16,5,27,0,16,12,0,1,1,1,106,6.07993319509559
"943",800,12,12,30,0,4,16,0,1,0,1,111,6.68461172766793
"1663",625,12,10,28,0,12,12,1,1,0,1,100,6.4377516497364
"1832",300,12,8,26,1,NA,7,1,0,0,0,NA,5.7037824746562
"1082",330,12,6,24,0,9,12,0,0,1,0,100,5.79909265446053
"2326",255,17,2,25,0,12,14,0,1,1,1,118,5.54126354515843
"1536",429,10,12,28,1,NA,9,1,1,1,1,57,6.06145691892802
"232",600,12,9,27,0,17,16,0,1,1,1,105,6.39692965521615
"2395",547,18,3,27,0,NA,NA,0,0,1,0,117,6.30444880242198
"983",445,13,7,26,0,NA,2,1,1,0,1,100,6.09807428216624
"878",601,15,4,25,0,12,11,0,1,0,1,137,6.39859493453521
"1288",385,16,2,24,0,12,12,0,0,0,0,NA,5.95324333428778
"1337",516,18,2,26,0,12,14,0,1,0,0,129,6.24610676548156
"506",426,12,10,28,0,7,7,0,1,0,0,90,6.05443934626937
"978",803,16,4,26,0,NA,16,0,1,0,1,125,6.68835471394676
"1312",750,14,13,33,0,NA,12,0,0,0,0,108,6.62007320653036
"2699",492,11,10,27,0,NA,NA,1,0,1,0,NA,6.19847871649231
"1994",375,12,6,24,0,12,12,1,1,0,1,NA,5.92692602597041
"53",434,10,8,24,0,5,NA,0,1,1,1,NA,6.07304453410041
"505",808,12,9,27,0,NA,11,0,1,0,0,NA,6.69456205852109
"1627",700,11,8,25,0,12,12,1,1,0,0,93,6.5510803350434
"193",289,16,3,25,0,12,14,0,0,1,1,128,5.66642668811243
"2294",610,12,6,24,0,12,NA,0,1,1,1,NA,6.41345895716736
"2150",693,14,4,24,1,2,NA,0,1,1,1,NA,6.5410299991899
"2904",333,12,9,27,1,NA,NA,0,1,1,0,98,5.80814248998044
"2653",289,12,15,33,1,NA,NA,1,0,0,1,75,5.66642668811243
"2362",631,12,9,27,0,12,16,0,1,0,1,92,6.44730586254121
"2110",1979,16,10,32,0,8,9,0,1,1,1,94,7.59034694560257
"2926",425,16,5,27,0,12,12,0,0,0,0,107,6.05208916892442
"2198",751,12,7,25,0,11,14,0,1,1,1,104,6.62140565176413
"1385",623,12,7,25,0,8,12,0,0,0,1,93,6.43454651878745
"1334",767,13,13,32,0,11,8,0,1,0,0,111,6.64248680136726
"863",1058,16,11,33,0,8,8,0,1,1,1,NA,6.96413561241824
"1554",397,11,9,26,1,NA,NA,1,1,1,1,NA,5.98393628068719
"337",1010,12,7,25,0,12,10,0,1,1,1,NA,6.9177056098353
"2880",333,10,14,30,1,NA,10,1,0,1,0,NA,5.80814248998044
"533",625,17,8,31,0,NA,NA,0,1,0,0,96,6.4377516497364
"290",438,12,6,24,0,9,9,0,1,1,1,NA,6.08221891037645
"1087",704,12,7,25,0,15,12,0,0,1,0,103,6.55677835615804
"608",385,13,5,24,0,12,NA,0,0,0,0,NA,5.95324333428778
"2387",449,14,6,26,0,12,13,0,1,0,0,115,6.10702288774225
"575",250,14,6,26,0,12,12,0,1,0,1,112,5.52146091786225
"1193",675,12,9,27,1,NA,NA,1,0,1,1,81,6.51471269087253
"1272",616,16,6,28,0,12,12,0,1,0,0,119,6.42324696353352
"2504",491,16,3,25,0,16,15,1,1,0,1,104,6.19644412779452
"1066",609,12,12,30,0,7,11,0,1,0,0,108,6.4118182677099
"2013",606,17,6,29,0,16,14,1,1,0,0,99,6.40687998606931
"809",962,17,11,34,0,8,8,0,1,0,1,99,6.86901445066571
"685",473,18,3,27,1,9,10,0,1,0,1,106,6.15909538849193
"1782",375,15,3,24,1,7,11,1,0,0,1,NA,5.92692602597041
"2959",225,10,13,29,0,16,5,1,0,0,0,90,5.41610040220442
"1598",673,17,6,29,1,13,13,1,1,1,1,NA,6.51174532964473
"220",529,13,9,28,0,NA,8,0,1,1,1,104,6.2709884318583
"2921",337,16,2,24,0,NA,NA,1,1,0,0,107,5.82008293035236
"517",440,13,6,25,0,12,12,0,0,0,0,109,6.08677472691231
"2801",650,12,9,27,1,3,6,0,0,0,0,NA,6.47697236288968
"2008",425,18,7,31,1,11,12,0,1,0,1,98,6.05208916892442
"1393",594,14,5,25,0,12,12,0,0,1,1,NA,6.38687931936265
"2543",168,9,18,33,1,4,10,1,0,1,0,NA,5.12396397940326
"2928",542,12,6,24,0,5,12,0,0,0,0,100,6.29526600143965
"1584",327,14,9,29,1,10,10,1,1,1,1,99,5.78996017089725
"2316",404,13,5,24,0,13,16,0,1,1,1,83,6.00141487796115
"1148",462,12,13,31,0,NA,8,0,0,0,1,120,6.13556489108174
"558",1000,13,5,24,0,16,14,0,1,1,0,NA,6.90775527898214
"1256",396,16,5,27,0,14,12,0,0,0,1,118,5.98141421125448
"860",641,16,11,33,0,13,12,0,1,1,1,119,6.46302945692067
"1482",638,12,9,27,1,5,9,1,1,0,1,NA,6.45833828334479
"2153",515,14,5,25,0,12,12,1,1,1,1,NA,6.24416690066374
"1201",1380,12,9,27,0,8,12,0,0,1,1,109,7.22983877815125
"1865",310,9,12,27,1,NA,NA,1,1,1,0,NA,5.73657229747919
"1151",641,14,5,25,0,15,12,0,1,1,1,98,6.46302945692067
"1811",278,12,6,24,0,12,12,1,1,0,0,NA,5.62762111369064
"1699",355,11,11,28,1,NA,8,1,1,0,1,NA,5.87211778947542
"1039",506,18,6,30,0,6,8,0,1,0,0,122,6.22653666928747
"888",1202,18,9,33,0,12,12,0,1,0,1,134,7.09174211509515
"1914",361,5,21,32,1,2,5,1,0,0,1,NA,5.88887795833288
"2357",577,12,13,31,0,8,12,0,1,1,0,69,6.3578422665081
"2553",418,12,6,24,0,9,12,1,0,1,0,NA,6.03548143252476
"377",529,12,14,32,1,6,8,0,1,1,1,NA,6.2709884318583
"2223",716,18,5,29,0,12,12,0,1,0,1,119,6.57368016696065
"1923",196,12,10,28,0,4,1,1,0,0,1,104,5.27811465923052
"1098",300,18,0,24,0,12,12,0,1,1,0,NA,5.7037824746562
"2716",475,12,8,26,1,2,NA,0,1,1,0,79,6.16331480403464
"1259",300,16,2,24,0,12,12,0,0,0,1,102,5.7037824746562
"72",545,12,8,26,0,6,11,0,1,1,1,72,6.30078579466324
"160",625,16,5,27,0,16,17,0,1,0,1,124,6.4377516497364
"2561",220,12,9,27,1,4,3,1,0,0,1,73,5.39362754635236
"2808",300,7,21,34,1,NA,NA,1,0,0,0,NA,5.7037824746562
"1439",797,16,2,24,0,16,12,1,1,0,1,NA,6.68085467879022
"1026",425,12,6,24,0,8,12,0,0,0,0,98,6.05208916892442
"1390",550,12,13,31,0,6,NA,0,0,1,1,109,6.30991827822652
"1504",385,12,12,30,1,NA,10,1,1,0,1,NA,5.95324333428778
"1574",624,10,18,34,0,NA,NA,1,1,1,1,NA,6.43615036836943
"1621",431,12,8,26,1,NA,NA,1,1,0,0,69,6.06610809010375
"664",1116,17,1,24,0,18,12,0,1,0,1,NA,7.01750614294126
"1248",524,12,11,29,0,NA,NA,0,0,0,1,90,6.26149168432104
"231",588,16,3,25,0,12,12,0,1,1,1,117,6.37672694789863
"2579",385,18,2,26,1,12,12,1,1,0,1,NA,5.95324333428778
"2227",200,11,8,25,0,10,10,0,1,1,1,107,5.29831736654804
"1210",815,12,9,27,0,8,11,0,1,0,0,NA,6.70318811324086
"2636",513,14,6,26,0,12,12,1,1,0,0,NA,6.24027584517077
"1411",452,10,12,28,0,8,6,1,1,0,1,NA,6.11368217983223
"1487",230,12,6,24,1,NA,NA,1,1,0,1,NA,5.4380793089232
"47",353,12,6,24,0,12,11,0,1,1,1,101,5.8664680569333
"1529",411,12,12,30,1,NA,9,1,1,1,1,89,6.01859321449623
"730",425,13,6,25,1,NA,10,0,1,0,1,NA,6.05208916892442
"58",740,16,10,32,0,12,12,0,1,1,1,113,6.60665018619822
"1886",535,13,5,24,0,12,12,1,1,0,1,NA,6.28226674689601
